epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,2441.38,0.22214,0.18429,0.81261,0.99856,0.99798,0.99499,0.98983,0.08921,0.08895,0.67626,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2482.09,0.22222,0.18388,0.81195,0.99835,0.99665,0.99499,0.98887,0.09444,0.09668,0.6782,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2521.78,0.22119,0.18545,0.81433,0.99825,0.99789,0.995,0.98995,0.09415,0.09338,0.67764,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2561.36,0.22015,0.18111,0.81557,0.99756,0.99811,0.99499,0.99018,0.09186,0.09192,0.67707,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2601.07,0.21754,0.18066,0.81379,0.99909,0.99741,0.99499,0.98977,0.09245,0.09293,0.67737,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,2640.52,0.21382,0.18148,0.81288,0.99768,0.99805,0.99496,0.99055,0.08795,0.08981,0.6762,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,2680.05,0.21414,0.17873,0.81218,0.9976,0.9983,0.99495,0.9903,0.08939,0.08758,0.67575,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2719.61,0.21456,0.18108,0.81169,0.99839,0.99809,0.99499,0.99027,0.08798,0.08764,0.67621,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2759.75,0.21141,0.17692,0.81132,0.9976,0.99703,0.99499,0.98992,0.08653,0.08598,0.67474,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,2800.13,0.21061,0.17778,0.81258,0.99877,0.99788,0.99499,0.99133,0.08463,0.08856,0.67477,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2839.95,0.20942,0.17701,0.81169,0.99835,0.99754,0.99498,0.99058,0.08418,0.0813,0.67436,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
